Discharge Current (A),Discharge Capacity (mAh),Cell Voltage (V)
25,2636.554844,2.708067951
25,2675.291355,2.670059395
25,2708.494078,2.633040539
25,2736.163015,2.5967005
25,2761.987355,2.559947276
25,2783.384666,2.524704633
30,8.620749879,3.41979036
30,19.61598735,3.361185911
30,53.30095831,3.319608074
30,91.01269386,3.311643514
30,131.5938006,3.311407108
30,172.1749073,3.308137703
30,212.7560141,3.3003188
30,253.3371208,3.289618547
30,293.9182275,3.275885296
30,334.4993343,3.261393795
30,375.080441,3.246447344
30,415.6615478,3.231349243
30,456.2426545,3.216099492
30,496.8237612,3.200698091
30,537.404868,3.186661539
30,577.9859747,3.173383238
30,618.5670814,3.160863186
30,659.1481882,3.149556333
30,699.7292949,3.139007731
30,740.3104017,3.129369028
30,780.8915084,3.120185275
30,821.4726151,3.112518022
30,862.0537219,3.104395818
30,902.6348286,3.097183515
30,943.2159353,3.090426161
30,983.7970421,3.083820457
30,1024.378149,3.077821353
30,1064.959256,3.072277199
30,1105.540362,3.066581395
30,1146.121469,3.061188891
30,1186.702576,3.056251337
30,1227.283682,3.050707183
30,1267.864789,3.046376228
30,1308.445896,3.041590324
30,1349.027003,3.03634947
30,1389.608109,3.030502015
30,1430.189216,3.025716111
30,1470.770323,3.020020307
30,1511.35143,3.014931103
30,1551.932536,3.009538599
30,1592.513643,3.004297744
30,1633.09475,2.99860194
30,1673.675857,2.992602836
30,1714.256963,2.986452082
30,1754.83807,2.979846379
30,1795.419177,2.973240675
30,1836.000284,2.966634971
30,1876.58139,2.958816068
30,1917.162497,2.951452114
30,1957.743604,2.942874961
30,1998.32471,2.933842858
30,2038.905817,2.923445906
30,2079.486924,2.913352253
30,2120.068031,2.900983851
30,2160.649137,2.888160499
30,2201.230244,2.873668998
30,2241.811351,2.857054397
30,2282.392458,2.838316697
30,2322.973564,2.818062498
30,2363.554671,2.794472
30,2404.135778,2.769819952
30,2444.716885,2.743196454
30,2485.297991,2.714601508
30,2525.879098,2.683125212
30,2564.615609,2.650105939
30,2601.507524,2.61399686
30,2634.710248,2.578354227
30,2664.22378,2.542427372
30,2685.252172,2.517069285
